global_key,year,publisher,unique_global_key,count
icse,2009,IEEE Computer Society,,
icse,2009,IEEE Computer Society,,
icse,2009,IEEE Computer Society,,
icse,2009,IEEE Computer Society,,
icse,2009,IEEE Computer Society,,
icse,2010,Springer,,
icse,2009,IEEE Computer Society,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2010,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2011,ACM,,
icse,2012,IEEE Computer Society,,
icse,2012,IEEE Computer Society,,
icse,2012,IEEE Computer Society,,
icse,2012,IEEE,,
icse,2012,IEEE,,
icse,2012,IEEE,,
icse,2012,IEEE/ACM,,
icse,2012,IEEE Computer Society,,
icse,2012,IEEE/ACM,,
icse,2012,IEEE,,
icse,2012,IEEE/ACM,,
icse,2012,IEEE,,
icse,2012,IEEE,,
icse,2012,IEEE,,
icse,2012,IEEE,,
icse,2012,IEEE Computer Society,,
icse,2012,IEEE,,
icse,2012,IEEE Computer Society,,
